Date,Month_Number,Month_Name,Year,Time_ID
01/01/2014,1, January ,2014,1
01/06/2014,6, June ,2014,2
01/12/2014,12, December ,2014,3
01/03/2014,3, March ,2014,4
01/07/2014,7, July ,2014,5
01/08/2014,8, August ,2014,6
01/09/2014,9, September ,2014,7
01/10/2013,10, October ,2013,8
01/02/2014,2, February ,2014,9
01/09/2013,9, September ,2013,10
01/10/2014,10, October ,2014,11
01/11/2013,11, November ,2013,12
01/12/2013,12, December ,2013,13
01/04/2014,4, April ,2014,14
01/05/2014,5, May ,2014,15
01/11/2014,11, November ,2014,16
